Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis,-0.000444600921558843,0.000287035760745392,6.23058949931363E-06,0,0,0,0.848139055477732,0.00115729109760246,-2.77581352782367E-07,7.59736388428773E-08,0.00153951399577208,-1.06489455875917E-08,0.000992911865253475,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/chassis.STL,1,1,1,1,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/chassis.STL,,chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_hip,-0.0032526,-0.0094319,0.019337,0,0,0,0.10477,2.9556E-05,-1.6557E-06,2.1529E-11,1.7077E-05,-3.5945E-08,2.6993E-05,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/FR_hip.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/FR_hip.STL,,hip_right-1,Origin_FR_hip_roll,Axis_FR_hip_roll,FR_hip_roll,continuous,0.081,-0.039,0.009,1.5708,0,1.5708,chassis,0,0,1,,,,,,,,,,,,
FR_upper_leg,9.18425058227257E-12,-0.036,0.0234,0,0,0,0.173846444847994,4.56794137444571E-05,-5.35217851199059E-22,-1.01799735917628E-21,2.70865709884967E-05,7.59367774240571E-08,4.06256023463801E-05,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/FR_upper_leg.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/FR_upper_leg.STL,,upper_leg_short-1,Origin_FR_hip_pitch,Axis_FR_hip_pitch,FR_hip_pitch,continuous,-0.0226,0,0.019,3.1416,-1.5708,0,FR_hip,0,0,1,,,,,,,,,,,,
FR_lower_leg,-0.0235112982977331,-0.0333337125043985,-3.67222933450595E-08,0,0,0,0.0384832088212245,1.18130728149393E-05,-1.15124771925603E-06,1.90278127708948E-13,3.33530357119838E-06,7.19926265841221E-12,1.27532358869645E-05,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/FR_lower_leg.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/FR_lower_leg.STL,,lower_leg_short-3,Origin_FR_knee_pitch,Axis_FR_knee_pitch,FR_knee_pitch,continuous,0,-0.072,0,0,1.5708,0,FR_upper_leg,1,0,0,,,,,,,,,,,,
FL_hip,0.00325258361311268,-0.00943189564323483,0.01933695515458,0,0,0,0.104770220532977,2.95563074359675E-05,1.65571747194463E-06,2.15606215402607E-11,1.70767674556504E-05,-3.59947414731157E-08,2.69927745038649E-05,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/FL_hip.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/FL_hip.STL,,hip_left-1,Origin_FL_hip_roll,Axis_FL_hip_roll,FL_hip_roll,continuous,0.081,0.039,0.009,1.5708,0,1.5708,chassis,0,0,1,,,,,,,,,,,,
FL_upper_leg,9.18498610502638E-12,-0.0359999999999987,0.0234000000000002,0,0,0,0.173846444847994,4.56794137444571E-05,-3.44811133722202E-22,-3.25230551041641E-20,2.70865709884967E-05,7.59367774240549E-08,4.06256023463801E-05,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/FL_upper_leg.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/FL_upper_leg.STL,,upper_leg_short-3,Origin_FL_hip_pitch,Axis_FL_hip_pitch,FL_hip_pitch,continuous,0.0226,0,0.019,0,1.5708,0,FL_hip,0,0,1,,,,,,,,,,,,
FL_lower_leg,0.0232887017022664,-0.0333337125043985,-3.67222952046831E-08,0,0,0,0.0384832088212245,1.18130728149393E-05,-1.15124771925602E-06,1.90278127181665E-13,3.33530357119839E-06,7.1992626591154E-12,1.27532358869645E-05,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/FL_lower_leg.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/FL_lower_leg.STL,,lower_leg_short-1,Origin_FL_knee_pitch,Axis_FL_knee_pitch,FL_knee_pitch,continuous,0,-0.072,0,3.1416,-1.5708,0,FL_upper_leg,1,0,0,,,,,,,,,,,,
RR_hip,-0.00325258370059503,-0.00943187135449414,-0.0230630580319289,0,0,0,0.104770220532571,2.95563074929317E-05,-1.6557172171637E-06,2.15288051061514E-11,1.70767673986578E-05,-3.59453433045113E-08,2.6992774503836E-05,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/RR_hip.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/RR_hip.STL,,hip_right-2,Origin_RR_hip_roll,Axis_RR_hip_roll,RR_hip_roll,continuous,-0.0766,-0.039,0.009,1.5708,0,1.5708,chassis,0,0,1,,,,,,,,,,,,
RR_upper_leg,9.18422282669695E-12,-0.0360000000000013,0.0234,0,0,0,0.173846444847994,4.56794137444571E-05,3.19353178284792E-22,-2.34431263083692E-21,2.70865709884967E-05,7.59367774240538E-08,4.06256023463801E-05,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/RR_upper_leg.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/RR_upper_leg.STL,,upper_leg_short-2,Origin_RR_hip_pitch,Axis_RR_hip_pitch,RR_hip_pitch,continuous,-0.0226,0,-0.0234,3.1416,-1.5708,0,RR_hip,0,0,1,,,,,,,,,,,,
RR_lower_leg,-0.0230112982977352,-0.0333337125043986,-3.67222933450595E-08,0,0,0,0.0384832088212245,1.18130728149393E-05,-1.15124771925602E-06,1.90278127470108E-13,3.33530357119838E-06,7.19926265914702E-12,1.27532358869645E-05,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/RR_lower_leg.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://spotmicro_proprio_dachshund/meshes/RR_lower_leg.STL,,lower_leg_short-4,Origin_RR_knee_pitch,Axis_RR_knee_pitch,RR_knee_pitch,continuous,0,-0.072,0,0,1.5708,0,RR_upper_leg,1,0,0,,,,,,,,,,,,
