Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis,-0.0004446,-6.2306E-06,0.00028704,0,0,0,0.84814,0.0011573,-7.5974E-08,-2.7758E-07,0.00099291,1.0649E-08,0.0015395,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/chassis.STL,1,1,1,1,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/chassis.STL,,chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_hip,-0.0032526,-0.0094319,0.019337,0,0,0,0.10477,2.9556E-05,-1.6557E-06,2.1529E-11,1.7077E-05,-3.5945E-08,2.6993E-05,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/FR_hip.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/FR_hip.STL,,hip_right-1,Origin_FR_hip_roll,Axis_FR_hip_roll,FR_hip_roll,revolute,0.081,-0.039,0.009,1.5708,0,1.5708,chassis,0,0,1,3,8,-1.57,1.57,,,,,,,,
FR_upper_leg,1.19898674322272E-11,-0.0589999999892911,0.0234492015158459,0,0,0,0.186407498655757,5.87035326015844E-05,1.99926341478042E-14,1.81354376032622E-14,3.64527307900986E-05,6.79432986779939E-08,5.00787101141682E-05,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/FR_upper_leg.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/FR_upper_leg.STL,,upper_leg-2,Origin_FR_hip_pitch,Axis_FR_hip_pitch,FR_hip_pitch,revolute,-0.0226,0,0.019,3.1416,-1.5708,0,FR_hip,0,0,1,3,8,-1.57,1.57,,,,,,,,
FR_lower_leg,0.0237537809269848,0.0523651689541875,1.05791522791998E-07,0,0,0,0.0514314796513697,3.95073753491517E-05,4.88497364958468E-06,-1.65219951715732E-11,4.30274202211496E-06,1.46673398826226E-10,4.10006869878226E-05,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/FR_lower_leg.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/FR_lower_leg.STL,,lower_leg-3,Origin_FR_knee_pitch,Axis_FR_knee_pitch,FR_knee_pitch,revolute,0,-0.118,0,0,-1.5708,0,FR_upper_leg,1,0,0,3,8,-1.57,1.57,,,,,,,,
FL_hip,0.0032526,-0.0094319,0.019337,0,0,0,0.10477,2.9556E-05,1.6557E-06,2.1561E-11,1.7077E-05,-3.5995E-08,2.6993E-05,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/FL_hip.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/FL_hip.STL,,hip_left-1,Origin_FL_hip_roll,Axis_FL_hip_roll,FL_hip_roll,revolute,0.081,0.039,0.009,1.5708,0,1.5708,chassis,0,0,1,3,8,-1.57,1.57,,,,,,,,
FL_upper_leg,1.19906307105566E-11,-0.0589999999892912,0.0234492015158475,0,0,0,0.186407498655757,5.87035326015845E-05,1.99926211632493E-14,1.81353886457592E-14,3.64527307900987E-05,6.7943298678007E-08,5.00787101141683E-05,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/FL_upper_leg.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/FL_upper_leg.STL,,upper_leg-1,Origin_FL_hip_pitch,Axis_FL_hip_pitch,FL_hip_pitch,revolute,0.0226,0,0.019,0,1.5708,0,FL_hip,0,0,1,3,8,-1.57,1.57,,,,,,,,
FL_lower_leg,0.0232537809269858,-0.0523651689541877,-1.0579152302792E-07,0,0,0,0.0514314796513697,3.95073753491516E-05,-4.88497364958502E-06,1.65219951847629E-11,4.30274202211505E-06,1.46673398866322E-10,4.10006869878226E-05,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/FL_lower_leg.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/FL_lower_leg.STL,,lower_leg-1,Origin_FL_knee_pitch,Axis_FL_knee_pitch,FL_knee_pitch,revolute,0,-0.118,0,3.1416,-1.5708,0,FL_upper_leg,1,0,0,3,8,-1.57,1.57,,,,,,,,
RR_hip,-0.0032526,-0.0094319,-0.023063,0,0,0,0.10477,2.9556E-05,-1.6557E-06,2.1529E-11,1.7077E-05,-3.5945E-08,2.6993E-05,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/RR_hip.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/RR_hip.STL,,hip_right-2,Origin_RR_hip_roll,Axis_RR_hip_roll,RR_hip_roll,revolute,-0.0766,-0.039,0.009,1.5708,0,1.5708,chassis,0,0,1,3,8,-1.57,1.57,,,,,,,,
RR_upper_leg,1.19898951878028E-11,-0.0589999999892923,0.023449201515846,0,0,0,0.186407498655757,5.87035326015845E-05,1.99926242905013E-14,1.81354443822145E-14,3.64527307900987E-05,6.79432986779969E-08,5.00787101141683E-05,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/RR_upper_leg.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/RR_upper_leg.STL,,upper_leg-3,Origin_RR_hip_pitch,Axis_RR_hip_pitch,RR_hip_pitch,revolute,-0.0226,0,-0.0234,3.1416,-1.5708,0,RR_hip,0,0,1,3,8,-1.57,1.57,,,,,,,,
RR_lower_leg,0.0237537809269848,0.0523651689541875,1.0579152277812E-07,0,0,0,0.0514314796513697,3.95073753491517E-05,4.88497364958468E-06,-1.65219951719277E-11,4.30274202211496E-06,1.46673398821205E-10,4.10006869878226E-05,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/RR_lower_leg.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://spotmicro_proprio_v5/meshes/RR_lower_leg.STL,,lower_leg-4,Origin_RR_knee_pitch,Axis_RR_knee_pitch,RR_knee_pitch,revolute,0,-0.118,0,0,-1.5708,0,RR_upper_leg,1,0,0,3,8,-1.57,1.57,,,,,,,,
